toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1759.01,408636441,,21h47m24.4s,326.8516620,+62d45m13.74s,62.7538160,-173.4700000,-10.4600000,2458745.4672870,37.6961270,3.5384150,2680.7544510,3.2347940,2.4862390,320.2620310,9.9283800,40.0654000,3960.0000000,4.6285300,0.6270460,2020-02-27 22:12:19,2020-02-28 12:00:18
176.01,272086159,FP,07h40m00.83s,115.0034730,-72d12m20.44s,-72.2056780,15.4380000,478.6530000,2458363.0438230,16.1553730,1.5567050,71225.7265620,10.4242810,1.8460090,297.2885440,13.4004000,65.9528000,3270.0000000,4.9824200,0.2710000,2018-10-11 19:07:06,2020-03-04 12:58:47
1760.01,420112587,,19h20m41.75s,290.1739760,+73d11m45.57s,73.1959930,6.9830000,-81.8760000,2458691.5314960,11.0626660,2.0842160,4957.8780940,2.6437020,1.7628860,293.8838940,12.4989000,30.5373000,3212.0000000,4.9802900,0.2545220,2020-02-27 22:12:19,2020-05-15 12:00:22
1761.01,424391516,,18h46m18.63s,281.5776450,+75d18m12.12s,75.3033670,16.2110000,25.5680000,2458694.8039410,11.5919000,3.5204040,375.9079200,2.3811510,174.3537350,926.7819430,10.5951000,242.5370000,6311.0000000,4.3781300,1.1940700,2020-02-27 22:12:19,2020-02-28 12:00:18
1762.01,435680451,,01h11m39.6s,17.9150040,+79d09m55.77s,79.1654920,45.3450000,-21.5950000,2458810.9182420,24.1498990,3.1031260,1655.3060280,3.9216710,38.9229730,637.0466730,10.5949000,174.1950000,6156.0000000,4.5526200,0.9484200,2020-02-27 22:12:19,2020-02-28 12:00:18
1763.01,441739871,,17h18m15.4s,259.5641640,+74d18m09.8s,74.3027210,-4.9650000,-38.3200000,2458684.7850220,3.7979400,1.0902030,2050.8702950,2.2909140,22.3740820,554.6973070,12.8123000,88.0677000,3520.0000000,4.7612500,0.4728690,2020-02-27 22:12:19,2020-02-28 12:00:18
1764.01,1551345500,,18h29m10.32s,277.2930100,+55d18m47.19s,55.3131070,147.3260000,-10.3530000,2458701.5276320,47.3865250,2.0377450,36913.0244740,16.4726040,2.5127940,321.1138100,11.2018000,87.2876000,4415.0000000,4.6983100,0.6156070,2020-02-27 22:12:19,2020-02-28 12:00:18
1765.01,272672133,,15h36m58.03s,234.2417910,+67d27m09.28s,67.4525790,-34.7370000,26.8030000,2458683.8417200,3.4939800,1.9340000,3824.1700000,6.0891100,150.1890000,975.0000000,11.7176000,229.4400000,5203.4000000,4.4700000,0.9000000,2020-03-12 15:35:29,2020-03-13 12:00:27
1766.01,67666096,KP,09h54m34.35s,148.6431190,+40d23m16.6s,40.3879450,-28.3280000,-24.4110000,2458872.8544100,2.7033700,2.9630000,10360.0000000,16.5874000,1405.9400000,1705.0000000,9.4335100,210.2520000,6518.0000000,4.1500000,1.6100000,2020-03-12 15:35:30,2020-03-12 16:00:02
1767.01,8767448,KP,09h20m24.71s,140.1029650,+33d52m56.38s,33.8823290,-2.1550000,-20.3190000,2458870.7435810,4.3532170,3.9979230,9420.4557620,16.0871400,962.5609450,1420.6163500,9.9811100,227.5370000,5914.0000000,4.0700000,1.5853600,2020-03-12 15:35:30,2020-03-12 16:00:02
1768.01,137906197,,10h08m24.67s,152.1027830,+55d32m23.86s,55.5399600,-21.6360000,-26.8510000,2458878.5780700,7.3385500,4.0800000,860.0000000,3.0759200,291.9650000,1151.0000000,9.9100800,157.5970000,5994.0000000,4.4000000,1.1000000,2020-03-12 15:35:30,2020-03-13 12:00:27
1769.01,287225295,,09h36m00.08s,144.0003440,+51d36m28.02s,51.6077840,-16.9520000,48.0010000,2458871.3964500,0.6098700,0.3870000,550.0000000,3.2652800,720.6390000,1443.0000000,9.4819000,90.6965000,5493.0000000,4.5200000,0.8900000,2020-03-12 15:35:30,2020-03-13 12:00:27
177.01,262530407,,01h21m45.22s,20.4384280,-46d42m53s,-46.7147230,-111.2060000,-79.8270000,2458356.1529540,2.8531330,1.2646740,1589.9632570,2.1754060,42.9546240,652.9384160,9.4927500,22.4751000,3703.0000000,4.7622900,0.5250000,2018-10-11 19:07:06,2019-12-17 10:00:02
1770.01,457138169,,09h25m28.31s,141.3679510,+50d54m31.95s,50.9088740,-28.3790000,8.3920000,2458871.7259300,1.0925400,0.8330000,860.0000000,4.4735500,1150.8500000,1622.0000000,9.2243700,163.4380000,6273.0000000,4.2000000,1.4500000,2020-03-12 15:35:30,2020-03-13 12:00:27
1771.01,252479260,KP,10h22m43.55s,155.6814590,+50d07m43.36s,50.1287110,-26.1820000,83.7270000,2458871.6300840,3.2122140,2.8516780,13898.5978530,12.4602740,462.7696010,1182.9352010,9.0070000,81.7647000,5357.7000000,4.3700000,1.0418100,2020-03-12 15:35:30,2020-03-12 16:00:02
1772.01,85293053,,10h27m21.05s,156.8377040,+34d23m27.42s,34.3909500,-39.4230000,-19.0860000,2458871.7558900,8.0514700,3.4050000,590.0000000,2.4575100,134.5360000,948.0000000,9.3523000,97.7562000,5583.1000000,4.4400000,1.0000000,2020-03-12 15:35:30,2020-03-13 12:00:27
1773.01,332064670,KP,08h52m35.24s,133.1468370,+28d19m47.33s,28.3298150,-485.8720000,-233.6510000,2458872.1625700,0.7366500,1.4590000,340.0000000,1.7981800,2132.9300000,1893.0000000,5.2058000,12.5855000,5250.0000000,4.4200000,0.9600000,2020-03-12 15:35:30,2020-03-12 16:00:02
1774.01,4897275,,09h52m38.86s,148.1619310,+35d06m39.63s,35.1110080,264.6730000,-150.2700000,2458872.3411550,16.7100420,5.4004650,615.2873630,2.7396620,73.7609470,747.4400610,7.6474000,53.9740000,5853.7000000,4.3863600,1.0927100,2020-03-12 15:35:29,2020-03-13 12:00:27
1775.01,9348006,,10h00m27.62s,150.1151010,+39d27m27.9s,39.4577510,-5.8390000,-15.2960000,2458877.5646760,10.2403740,3.6475070,9295.3178530,8.0748100,60.4790590,711.2479130,10.9184000,149.2340000,5251.0000000,4.5433700,0.8394400,2020-03-12 15:35:29,2020-03-13 12:00:27
1776.01,21535395,,10h59m06.55s,164.7772910,+40d59m01.38s,40.9837180,214.7020000,25.6470000,2458871.4885660,2.8009910,1.4985400,204.8553330,1.4033920,560.3349220,1240.8853930,7.6586000,44.6470000,5723.8700000,4.4954300,0.9454080,2020-03-12 15:35:29,2020-03-13 12:00:27
1777.01,29191624,,10h07m13.69s,151.8070320,+46d06m53.57s,46.1148810,-0.7140000,-22.1080000,2458873.2982870,14.6531990,2.4976330,530.4864380,2.3322020,71.5076810,741.6652360,8.7370010,79.7665000,5859.4500000,4.4776000,0.9837520,2020-03-12 15:35:30,2020-03-13 12:00:27
1778.01,39699648,,09h07m06.63s,136.7776440,+46d40m20.73s,46.6724250,-68.5420000,-40.8380000,2458876.0250230,6.5159510,2.5334310,434.5843470,2.8299710,414.0679190,1150.5027090,8.4594000,99.4510000,6023.0000000,4.2399500,1.3294400,2020-03-12 15:35:30,2020-03-13 12:00:27
1779.01,67646988,KP,09h51m04.45s,147.7685280,+35d58m06.8s,35.9685560,-100.9750000,-171.8220000,2458871.0224820,1.8817190,1.2421520,102853.7589590,9.9259990,21.1934710,547.2304700,12.4368000,33.9280000,3138.0000000,4.9187300,0.3063780,2020-03-12 15:35:30,2020-03-12 16:00:02
178.01,251848941,,00h29m12.48s,7.3020110,-30d27m14.82s,-30.4541160,149.9530000,-87.2530000,2458360.2423100,6.5580540,2.2336320,1461.7100830,2.7732470,35.8462140,624.0661010,10.4200000,62.6990000,4111.0000000,4.5552800,0.7012020,2018-10-11 19:07:06,2019-12-17 10:00:02
178.02,251848941,,00h29m12.48s,7.3020110,-30d27m14.82s,-30.4541160,149.9530000,-87.2530000,2458354.5522460,10.3542520,2.2365240,1657.0678710,3.7510040,19.4977720,535.9397580,10.4200000,62.6990000,4111.0000000,4.5552800,0.7012020,2018-10-11 19:07:06,2019-12-17 10:00:02
178.03,251848941,,00h29m12.48s,7.3020110,-30d27m14.82s,-30.4541160,149.9530000,-87.2530000,2458362.9533690,9.9559360,2.5218050,1126.6016850,2.3231740,20.5447330,542.9938350,10.4200000,62.6990000,4111.0000000,4.5552800,0.7012020,2018-10-22 19:57:34,2019-12-17 10:00:02
1780.01,99834717,KP,11h00m40.13s,165.1671980,+64d57m49.84s,64.9638450,-22.3890000,-32.4250000,2458871.7242980,1.7063070,1.6135990,12242.3954170,10.6117990,652.7742160,1289.1709110,12.2120000,262.7060000,4974.0000000,4.4405900,0.9029150,2020-03-12 15:35:30,2020-03-12 16:00:02
1781.01,137881699,KP,10h02m17.43s,150.5726260,+53d57m02.97s,53.9508240,-9.3810000,-15.2550000,2458872.6437360,2.9721330,4.7418960,8471.5626420,18.1960810,2615.4174390,1823.9167150,12.5119000,935.4560000,6101.1200000,3.9202400,1.9465400,2020-03-12 15:35:30,2020-03-12 16:00:02
1782.01,160045097,,14h12m18.91s,213.0787720,+74d24m42.45s,74.4117910,-79.4550000,39.5480000,2458872.6220290,4.9876380,2.3083060,1507.8997210,2.5643960,56.0462470,697.8408430,11.3069000,95.2649000,4336.0000000,4.6201200,0.6686930,2020-03-12 15:35:30,2020-03-13 12:00:27
1783.01,229938290,,19h10m43.44s,287.6810170,+64d09m13.18s,64.1536620,3.6330000,74.3090000,2458871.0911660,1.4198660,1.3058500,465.2106200,2.2822780,1263.1832530,1520.4997020,9.2742000,88.3983000,5406.0000000,4.4247500,0.9845110,2020-03-12 15:35:30,2020-03-13 12:00:27
1784.01,241196395,,10h14m11.92s,153.5496830,+29d05m07.89s,29.0855240,-35.0350000,-10.4690000,2458871.7100800,2.0935780,0.8530000,2339.7492240,7.1978620,1885.7613250,1680.7047630,9.6143300,171.9450000,6435.6900000,4.3758000,1.2253800,2020-03-12 15:35:30,2020-03-13 12:00:27
1785.01,230386259,,19h02m54.85s,285.7285230,+63d56m55.86s,63.9488490,-3.7490000,-12.8820000,2458690.6067100,11.0046800,4.9350000,280.0000000,4.6994100,223.4600000,1077.0000000,9.6746000,384.2250000,6264.0000000,4.2590300,2.8700000,2020-03-12 14:22:11,2020-05-05 16:00:02
1786.01,86280613,,09h26m53.06s,141.7210870,+61d41m56.39s,61.6989960,-12.5520000,-19.9260000,2458851.5904000,9.5727000,2.5070000,3430.0000000,20.6825000,451.6380000,1284.0000000,9.5173000,248.6950000,6505.0000000,4.0400000,1.8300000,2020-03-12 14:22:11,2020-03-13 12:00:27
1787.01,372730331,,10h09m19.31s,152.3304600,+39d09m44.68s,39.1624110,14.8650000,-30.2220000,2458870.6900100,8.7043100,2.6060000,8150.0000000,26.7486000,332.8620000,1189.0000000,10.3774000,327.8630000,6427.0000000,4.1100000,1.6700000,2020-03-12 14:22:11,2020-03-13 12:00:27
1788.01,450327768,FP,10h40m55.01s,160.2292270,+35d54m48.07s,35.9133540,-48.3790000,-72.3080000,2458875.0467100,5.3432600,1.4260000,6980.0000000,10.4171000,52.9343000,751.0000000,10.1883000,191.5320000,5776.0000000,4.2500000,1.2600000,2020-03-12 14:22:11,2020-05-07 12:00:25
1789.01,172518755,,09h30m58.42s,142.7434060,+26d32m23.98s,26.5399950,-7.9990000,-39.5450000,2458873.6534400,3.2087500,2.1890000,2650.0000000,19.8795000,2362.0500000,1942.0000000,9.1824000,229.0670000,5971.4000000,3.7700000,2.2600000,2020-03-12 14:22:11,2020-03-13 12:00:27
179.01,207141131,,02h57m02.88s,44.2620140,-56d11m30.73s,-56.1918690,-36.6760000,50.5990000,2458354.5883790,4.1373940,1.8299190,1134.5367430,2.8139210,181.2764280,935.8474730,8.1796000,38.5653000,5058.0000000,4.5176100,0.8389490,2018-10-11 19:07:06,2019-12-17 10:00:02
1790.01,310981412,,10h45m42.67s,161.4277800,+69d12m02.81s,69.2007800,-23.3720000,-1.8110000,2458684.1604800,9.6251700,3.7250000,540.0000000,2.0337100,170.7390000,1007.0000000,10.2728000,164.1780000,6149.0000000,4.5700000,0.9300000,2020-03-12 14:22:11,2020-03-13 12:00:27
1791.01,233684293,,17h23m03.09s,260.7628860,+63d06m38.67s,63.1107410,-20.5670000,-6.6340000,2458688.9975300,48.4791200,8.0880000,320.0000000,4.4328200,29.9208000,651.0000000,9.0576900,247.4350000,6153.0000000,3.7200000,2.4700000,2020-03-12 14:22:11,2020-03-13 12:00:27
1792.01,29191596,,10h06m52.81s,151.7200290,+45d52m59.98s,45.8833280,-123.7380000,-49.0590000,2458871.1634400,8.8186600,6.2490000,420.0000000,3.6657600,4703.9300000,2307.0000000,8.6760000,69.3223000,5502.5000000,4.4300000,0.9900000,2020-03-12 15:27:12,2020-03-13 12:00:27
1793.01,304142124,CP,10h59m25.52s,164.8563360,-56d37m24.8s,-56.6235560,-416.8800000,-119.7100000,2458585.2553200,,4.2760000,1904.7200000,4.1541400,45.3103000,722.0000000,7.8436000,36.9941000,5175.0000000,4.5100000,0.8700000,2020-03-16 09:31:24,2020-04-18 12:00:24
1794.01,286916251,,13h33m35.4s,203.3974860,+49d03m39.03s,49.0608430,-33.0340000,-68.0240000,2458899.3670950,8.7758580,3.3646510,623.9957120,3.3973340,228.5544870,991.6700290,9.6992400,155.7910000,5707.0000000,4.2180300,1.2992100,2020-04-15 12:38:54,2020-04-15 12:00:23
1795.01,135083444,,12h17m28.06s,184.3669000,+19d50m23.96s,19.8399890,-35.1260000,-3.6730000,2458899.6102270,2.7917910,1.4664250,1018.9771430,6.0002070,1003.8358440,1435.6065270,10.0721000,183.1750000,6071.0000000,4.3600000,1.1627100,2020-04-15 12:38:54,2020-04-15 12:00:23
1796.01,138819293,KP,11h42m12.13s,175.5505360,+26d42m11.04s,26.7030670,895.0470000,-814.0310000,2458899.6715230,2.6439730,0.9548930,6480.5595160,3.7640610,29.4309070,594.0468030,8.4034600,9.7532100,3456.0000000,4.8000000,0.4254320,2020-04-15 12:38:54,2020-04-18 12:00:24
1797.01,368435330,,10h51m06.41s,162.7766970,+25d38m27.83s,25.6410650,-92.8390000,-23.2170000,2458902.8730810,3.6454280,2.3118890,891.1696380,3.2135490,535.5191470,1226.9122440,8.6259000,82.3432000,5922.0000000,4.4300000,1.0490400,2020-04-15 12:38:54,2020-04-15 12:00:23
1798.01,198153540,,14h04m22.54s,211.0939370,+46d31m09.42s,46.5192830,-27.3450000,-27.1190000,2458902.0296820,8.0189440,3.4476980,935.4423750,2.3875340,69.7883390,737.1662860,10.5191000,113.1810000,5165.2000000,4.5900000,0.7846180,2020-04-15 12:38:54,2020-04-15 12:00:23
1799.01,8967242,,11h08m55.9s,167.2329150,+34d18m10.85s,34.3030150,-9.0330000,-40.8350000,2458904.8157730,7.0938530,2.5107630,284.2381140,1.6277150,163.4661360,911.9619080,8.3662000,62.1274000,5690.0000000,4.4806200,0.9569410,2020-04-15 12:38:54,2020-04-15 12:00:23
180.01,51912829,FP,00h57m11.67s,14.2986390,-67d29m46.28s,-67.4961890,22.6710000,16.4950000,2458325.8979490,0.8353980,1.4803140,2689.0727540,14.8700420,19472.2500000,3012.8242190,9.5183000,264.7200000,6082.0000000,3.7765400,2.2866800,2018-10-19 23:49:42,2019-12-17 10:00:02
1800.01,17993892,KP,11h25m05.98s,171.2749350,+41d01m40.88s,41.0280210,-1.0880000,13.2430000,2458902.3041600,4.1244260,3.8316500,9218.7357160,12.6496630,561.5110260,1241.5360130,11.1065000,277.2780000,5634.0000000,4.2400900,1.2559900,2020-04-15 12:38:54,2020-04-18 12:00:24
1801.01,119584412,,11h42m18.14s,175.5755990,+23d01m37.32s,23.0270330,-205.0150000,41.4260000,2458903.5441540,21.2844060,2.7685810,1546.6322640,2.1702860,3.7608470,355.1740020,9.8562300,30.6796000,3815.0000000,4.6977500,0.5455910,2020-04-15 12:38:54,2020-04-15 12:00:23
1802.01,138762614,,10h57m01.28s,164.2553130,+24d52m56.42s,24.8823380,68.4820000,-20.5010000,2458904.1545020,16.7961110,3.4989300,1816.2755980,2.5066460,5.9204000,397.8391480,11.1341000,60.6931000,3859.0000000,4.6661200,0.5824360,2020-04-15 12:38:54,2020-04-15 12:00:23
1803.01,144401492,,11h52m11.07s,178.0461050,+35d10m18.48s,35.1718000,-86.4450000,3.0890000,2458911.6736210,12.8911530,2.2276300,3496.1223490,4.0266650,24.0948200,565.0679420,11.1476000,119.2400000,4868.6100000,4.6604000,0.6894010,2020-04-15 12:38:54,2020-04-15 12:00:23
1803.02,144401492,,11h52m11.07s,178.0461050,+35d10m18.48s,35.1718000,-86.4450000,3.0890000,2458904.6227900,6.2943920,2.2277290,2052.7711790,3.1322980,62.6672960,717.5959660,11.1476000,119.2400000,4868.6100000,4.6604000,0.6894010,2020-04-15 12:38:54,2020-04-15 12:00:23
